"","ns.all","ns.prop","max.snps","max.ns.snps","var.ns.snps","ns.range","s.all","gneut.all","gadv.all","gdel.all","var.s.snps","s1","s2","gens"
"1",22,0.88,2,2,0.3625731,2,3,5,1,16,0.1403509,0,0,50
"2",14,0.6363636,3,2,0.6176471,2,8,2,0,14,0.3823529,0,0,50
"3",17,0.7727273,2,2,0.2285714,2,5,2,0,16,0.2904762,0,0,50
"4",18,0.6923077,3,1,0.1558442,1,8,2,0,17,0.538961,0,0,50
"5",11,0.6111111,2,2,0.369281,2,7,2,0,9,0.251634,0,0,50
"6",20,0.7407407,3,2,0.4057971,2,7,1,0,20,0.2155797,0,0,50
"7",16,0.7619048,2,2,0.3625731,2,5,3,1,13,0.2046784,0,0,50
"8",19,0.7916667,4,4,0.879085,4,5,4,0,15,0.2124183,0,0,50
"9",21,0.75,2,2,0.4071146,2,7,2,2,18,0.312253,0,0,50
"10",11,0.8461538,2,2,0.3636364,2,2,1,1,10,0.1515152,0,0,50
"11",15,0.6521739,3,2,0.2904762,2,8,3,0,15,0.347619,0,0,50
"12",19,0.826087,2,2,0.5261438,2,4,6,1,12,0.1830065,0,0,50
"13",17,0.8095238,2,2,0.5,2,4,3,1,13,0.1911765,0,0,50
"14",14,0.7777778,3,3,0.9238095,3,4,2,1,11,0.2095238,0,0,50
"15",14,0.7777778,2,2,0.3833333,2,4,3,0,11,0.2,0,0,50
"16",19,0.6785714,3,2,0.4927536,2,9,5,2,14,0.3405797,0,0,50
"17",23,0.7666667,4,4,0.6904762,4,7,5,2,16,0.3333333,0,0,50
"18",13,0.6190476,2,2,0.4502924,2,8,3,0,10,0.2573099,0,0,50
"19",19,0.7307692,3,3,0.6549708,3,7,2,2,17,0.3567251,0,0,50
"20",20,0.7692308,4,2,0.497076,2,6,1,0,19,0.3391813,0,0,50
"21",11,0.5,3,2,0.4926471,2,11,1,2,8,0.3676471,0,0,50
"22",14,0.7368421,3,2,0.6380952,2,5,4,1,9,0.2380952,0,0,50
"23",17,0.68,2,2,0.2792208,2,8,2,1,14,0.3376623,0,0,50
"24",10,0.5263158,2,2,0.3676471,2,9,2,0,10,0.3897059,0,0,50
"25",16,0.7619048,2,2,0.45,2,5,1,2,14,0.1973684,0,0,50
"26",14,0.6666667,2,1,0.2210526,1,7,3,0,12,0.2394737,0,0,50
"27",17,0.6538462,3,3,0.6605263,3,9,2,1,14,0.2605263,0,0,50
"28",21,0.875,2,2,0.147619,2,3,5,0,17,0.1285714,0,0,50
"29",17,0.8095238,2,2,0.3216374,2,4,2,0,16,0.1754386,0,0,50
"30",19,0.76,3,2,0.2748538,2,6,6,1,13,0.3391813,0,0,50
"31",18,0.7826087,2,2,0.3052632,2,5,5,2,11,0.1973684,0,0,50
"32",14,0.7368421,2,2,0.4044118,2,5,6,0,9,0.2205882,0,0,50
"33",22,0.8461538,4,3,0.6210526,3,4,3,1,19,0.1684211,0,0,50
"34",24,0.8,3,3,0.9367589,3,6,3,0,23,0.201581,0,0,50
"35",15,0.5769231,2,2,0.4142857,2,11,1,1,13,0.2619048,0,0,50
"36",17,0.6538462,3,2,0.2733333,2,9,2,2,15,0.3433333,0,0,50
"37",23,0.71875,3,2,0.3214286,2,9,3,0,22,0.2261905,0,0,50
"38",16,0.6153846,3,2,0.3596838,2,10,1,0,18,0.256917,0,0,50
"39",16,0.7619048,3,2,0.251462,2,5,5,2,9,0.2046784,0,0,50
"40",14,0.7368421,2,2,0.3833333,2,5,3,1,10,0.3625,0,0,50
"41",15,0.7142857,2,2,0.3026316,2,6,2,0,14,0.3263158,0,0,50
"42",16,0.7619048,2,2,0.3625731,2,5,1,0,15,0.2046784,0,0,50
"43",16,0.5925926,3,2,0.4935065,2,11,2,1,13,0.3571429,0,0,50
"44",20,0.6666667,3,2,0.4301994,2,10,3,0,17,0.3276353,0,0,50
"45",12,0.6666667,2,2,0.3333333,2,6,0,2,12,0.3833333,0,0,50
"46",23,0.7666667,3,3,0.5538462,3,7,2,1,22,0.2215385,0,0,50
"47",16,0.6153846,2,2,0.312253,2,10,1,0,15,0.256917,0,0,50
"48",22,0.7096774,4,3,0.5889328,3,9,2,2,22,0.5217391,0,0,50
"49",19,0.76,2,2,0.39,2,6,6,0,15,0.21,0,0,50
"50",13,0.6842105,2,2,0.3300654,2,6,2,1,11,0.2352941,0,0,50
"51",33,0.7021277,3,3,0.5827957,3,14,6,2,29,0.3225806,0,0,100
"52",25,0.7575758,3,2,0.2186147,2,8,3,2,22,0.5454545,0,0,100
"53",34,0.7555556,4,4,1.006452,4,11,5,2,34,0.3032258,0,0,100
"54",34,0.6938776,4,3,0.4812834,3,15,7,6,26,0.4385027,0,0,100
"55",39,0.8478261,3,3,0.6098485,3,7,4,3,34,0.2348485,0,0,100
"56",38,0.745098,4,3,0.7848739,3,13,8,3,33,0.3579832,0,0,100
"57",32,0.744186,3,3,0.7495544,3,11,4,3,30,0.2254902,0,0,100
"58",28,0.6829268,4,3,0.5327635,3,13,4,2,25,0.4131054,0,0,100
"59",25,0.7142857,3,3,0.54,3,10,3,2,23,0.3333333,0,0,100
"60",18,0.5454545,2,2,0.5046154,2,15,3,2,15,0.3153846,0,0,100
"61",29,0.7631579,4,3,0.5046154,3,9,6,0,28,0.3261538,0,0,100
"62",32,0.744186,3,3,0.7806452,3,11,3,0,35,0.3698925,0,0,100
"63",36,0.7826087,4,4,0.9669312,4,10,9,1,28,0.2380952,0,0,100
"64",43,0.7288136,5,3,0.6558704,3,16,8,0,42,0.3616734,0,0,100
"65",29,0.6744186,4,3,0.6059113,3,14,6,0,25,0.4729064,0,0,100
"66",37,0.8222222,4,4,0.7379032,4,8,7,1,36,0.1935484,0,0,100
"67",34,0.8095238,3,3,0.5612903,3,8,5,1,33,0.1978495,0,0,100
"68",29,0.6444444,3,2,0.5587121,2,16,3,2,30,0.3825758,0,0,100
"69",30,0.7142857,3,3,0.5574713,3,12,9,2,29,0.3172414,0,0,100
"70",33,0.66,4,3,0.5625,3,17,10,2,25,0.3806818,0,0,100
"71",42,0.8235294,4,3,0.3495798,3,9,12,1,37,0.3142857,0,0,100
"72",34,0.7234043,3,3,0.5677362,3,13,5,1,31,0.3039216,0,0,100
"73",41,0.7454545,6,6,1.226381,6,14,13,0,39,0.557041,0,0,100
"74",30,0.6,4,3,0.592803,3,20,6,2,28,0.4166667,0,0,100
"75",32,0.8,3,3,0.5413105,3,8,3,6,25,0.2934473,0,0,100
"76",36,0.8,3,3,0.6129032,3,9,5,1,37,0.2129032,0,0,100
"77",31,0.7209302,3,2,0.5471264,2,12,6,1,26,0.3862069,0,0,100
"78",32,0.6666667,3,3,0.547379,3,16,5,2,28,0.3870968,0,0,100
"79",33,0.7021277,4,3,0.7272727,3,14,2,0,33,0.2566845,0,0,100
"80",28,0.6829268,4,2,0.5120968,2,13,7,2,25,0.3185484,0,0,100
"81",33,0.804878,3,3,0.6280242,3,8,9,2,29,0.2580645,0,0,100
"82",31,0.6458333,4,2,0.6236559,2,17,1,3,33,0.5784946,0,0,100
"83",32,0.7272727,3,3,0.3873016,3,12,6,3,25,0.2444444,0,0,100
"84",29,0.7631579,4,3,0.6415385,3,9,8,3,20,0.4138462,0,0,100
"85",38,0.8085106,3,3,0.6951872,3,9,8,1,32,0.2860963,0,0,100
"86",31,0.775,4,3,0.4927536,3,9,6,2,25,0.3315217,0,0,100
"87",32,0.6808511,4,3,0.6038306,3,15,5,1,29,0.3870968,0,0,100
"88",39,0.7647059,5,3,0.7724868,3,12,7,3,38,0.6243386,0,0,100
"89",33,0.7857143,3,3,0.5270936,3,9,9,1,28,0.3054187,0,0,100
"90",27,0.7714286,3,3,0.6956522,3,8,4,0,26,0.3280632,0,0,100
"91",33,0.7674419,3,3,0.7413793,3,10,4,2,33,0.3054187,0,0,100
"92",23,0.6969697,3,2,0.3,2,10,4,2,23,0.2988506,0,0,100
"93",27,0.8181818,3,3,0.541502,3,6,5,0,26,0.312253,0,0,100
"94",32,0.6808511,4,4,0.7272727,4,15,7,2,25,0.3172906,0,0,100
"95",45,0.7627119,4,4,1.022523,4,14,7,3,39,0.2972973,0,0,100
"96",32,0.8205128,4,4,1.076355,4,7,7,0,29,0.1896552,0,0,100
"97",36,0.8181818,3,3,0.4926108,3,8,3,3,38,0.3497537,0,0,100
"98",44,0.7857143,4,4,1.051136,4,12,6,2,38,0.3712121,0,0,100
"99",23,0.6388889,3,3,0.6494624,3,13,5,1,24,0.3892473,0,0,100
"100",32,0.744186,3,3,0.8677249,3,11,2,0,30,0.3214286,0,0,100
"101",71,0.8068182,5,4,1.356562,4,17,19,1,63,0.6440186,0,0,200
"102",47,0.6811594,5,3,0.9365722,3,22,10,8,43,0.3940621,0,0,200
"103",42,0.65625,4,4,0.7109244,4,22,8,3,42,0.4907563,0,0,200
"104",77,0.7475728,5,5,1.646406,5,26,10,3,77,0.5681818,0,0,200
"105",70,0.7777778,7,6,1.58361,6,20,13,3,65,0.3477298,0,0,200
"106",54,0.75,4,4,0.7300945,4,18,12,0,53,0.465587,0,0,200
"107",60,0.7407407,5,4,1.010976,4,21,13,2,63,0.4219512,0,0,200
"108",70,0.7777778,7,5,1.425641,5,20,12,1,76,0.5025641,0,0,200
"109",55,0.7333333,6,5,1.352853,5,20,8,3,53,0.6921922,0,0,200
"110",69,0.7040816,8,5,1.365751,5,29,16,4,61,0.75,0,0,200
"111",46,0.6764706,4,4,1.280702,4,22,9,1,49,0.5964912,0,0,200
"112",60,0.6976744,7,6,1.646406,6,26,11,2,58,0.5554968,0,0,200
"113",73,0.8202247,6,6,1.975637,6,16,15,5,68,0.3820598,0,0,200
"114",73,0.8111111,5,4,1.341546,4,17,13,3,65,0.5661836,0,0,200
"115",57,0.75,6,5,1.904202,5,19,21,4,73,0.5932773,0,0,200
"116",59,0.7468354,7,5,2.045122,5,20,9,14,57,0.502439,0,0,200
"117",67,0.752809,6,5,1.839406,5,22,16,3,72,0.611336,0,0,200
"118",58,0.7435897,7,4,1.131823,4,20,11,3,54,0.6463415,0,0,200
